#options: 960x540 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=260 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:105 out:107 type:b dur:2 cpbdur:2 q:37.52 aq:34.11 tex:71 mv:1184 misc:761 imb:1 pmb:157 smb:1882 d:t ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:37.37 aq:32.45 tex:86 mv:1171 misc:791 imb:4 pmb:175 smb:1861 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:37.19 aq:30.55 tex:19433 mv:6479 misc:1976 imb:113 pmb:940 smb:987 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:37.24 aq:33.32 tex:309 mv:1937 misc:938 imb:5 pmb:204 smb:1831 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:37.27 aq:28.00 tex:28 mv:1101 misc:719 imb:0 pmb:147 smb:1893 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:37.22 aq:30.42 tex:112 mv:1295 misc:921 imb:1 pmb:213 smb:1826 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:36.96 aq:30.43 tex:25556 mv:7042 misc:1914 imb:134 pmb:1042 smb:864 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:37.07 aq:34.63 tex:438 mv:1855 misc:947 imb:8 pmb:190 smb:1842 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:37.13 aq:29.19 tex:59 mv:1173 misc:744 imb:0 pmb:159 smb:1881 d:t ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:37.01 aq:37.27 tex:98 mv:1392 misc:910 imb:1 pmb:215 smb:1824 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:36.97 aq:30.56 tex:24945 mv:6574 misc:1865 imb:116 pmb:1009 smb:915 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:36.96 aq:35.84 tex:286 mv:1844 misc:878 imb:7 pmb:181 smb:1852 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:36.96 aq:30.55 tex:101 mv:1291 misc:816 imb:2 pmb:167 smb:1871 d:t ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:36.97 aq:35.03 tex:141 mv:1370 misc:1001 imb:3 pmb:236 smb:1801 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:36.80 aq:30.36 tex:22753 mv:7319 misc:1944 imb:145 pmb:1038 smb:857 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:36.89 aq:36.28 tex:462 mv:2124 misc:990 imb:9 pmb:215 smb:1816 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:36.93 aq:33.53 tex:149 mv:1337 misc:842 imb:3 pmb:169 smb:1868 d:t ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:36.84 aq:37.39 tex:130 mv:1520 misc:990 imb:1 pmb:232 smb:1807 d:- ref:0 ;
